Trained model result:
Loss: 1.1072806842683807
Train time: 286260159 microseconds => 4,77100265 minutes

Starting GCN training on NVIDIA GeForce RTX 3060 cuda
TRM: DataLoader created with 127 batches
TRM: Epoch 119 | Train Loss: 1.131 | Train Acc: 0.773 | Val Loss: 1.162 | Val Acc: 0.740
TRM: Epoch 120 | Train Loss: 1.140 | Train Acc: 0.762 | Val Loss: 1.167 | Val Acc: 0.736
TRM: Epoch 121 | Train Loss: 1.129 | Train Acc: 0.776 | Val Loss: 1.162 | Val Acc: 0.741
TRM: Epoch 122 | Train Loss: 1.129 | Train Acc: 0.774 | Val Loss: 1.157 | Val Acc: 0.746
TRM: Epoch 123 | Train Loss: 1.125 | Train Acc: 0.778 | Val Loss: 1.148 | Val Acc: 0.756
TRM: Epoch 124 | Train Loss: 1.132 | Train Acc: 0.772 | Val Loss: 1.163 | Val Acc: 0.740
TRM: Epoch 125 | Train Loss: 1.135 | Train Acc: 0.769 | Val Loss: 1.197 | Val Acc: 0.705
TRM: Epoch 126 | Train Loss: 1.129 | Train Acc: 0.774 | Val Loss: 1.151 | Val Acc: 0.753
TRM: Epoch 127 | Train Loss: 1.127 | Train Acc: 0.777 | Val Loss: 1.149 | Val Acc: 0.754
TRM: Epoch 128 | Train Loss: 1.134 | Train Acc: 0.770 | Val Loss: 1.152 | Val Acc: 0.754
TRM: Epoch 129 | Train Loss: 1.123 | Train Acc: 0.781 | Val Loss: 1.178 | Val Acc: 0.725
TRM: Epoch 130 | Train Loss: 1.122 | Train Acc: 0.781 | Val Loss: 1.170 | Val Acc: 0.733
TRM: Epoch 131 | Train Loss: 1.124 | Train Acc: 0.779 | Val Loss: 1.181 | Val Acc: 0.725
TRM: Epoch 132 | Train Loss: 1.129 | Train Acc: 0.775 | Val Loss: 1.158 | Val Acc: 0.743
TRM: Epoch 133 | Train Loss: 1.121 | Train Acc: 0.782 | Val Loss: 1.165 | Val Acc: 0.740
TRM: Epoch 134 | Train Loss: 1.122 | Train Acc: 0.781 | Val Loss: 1.154 | Val Acc: 0.749
TRM: Epoch 135 | Train Loss: 1.123 | Train Acc: 0.780 | Val Loss: 1.155 | Val Acc: 0.749
TRM: Epoch 136 | Train Loss: 1.125 | Train Acc: 0.779 | Val Loss: 1.152 | Val Acc: 0.752
TRM: Epoch 137 | Train Loss: 1.122 | Train Acc: 0.782 | Val Loss: 1.150 | Val Acc: 0.754
TRM: Epoch 138 | Train Loss: 1.124 | Train Acc: 0.780 | Val Loss: 1.154 | Val Acc: 0.751
TRM: Epoch 139 | Train Loss: 1.123 | Train Acc: 0.780 | Val Loss: 1.155 | Val Acc: 0.748
TRM: Epoch 140 | Train Loss: 1.115 | Train Acc: 0.789 | Val Loss: 1.144 | Val Acc: 0.760
TRM: Epoch 141 | Train Loss: 1.122 | Train Acc: 0.781 | Val Loss: 1.157 | Val Acc: 0.747
TRM: Epoch 142 | Train Loss: 1.118 | Train Acc: 0.787 | Val Loss: 1.153 | Val Acc: 0.752
TRM: Epoch 143 | Train Loss: 1.126 | Train Acc: 0.776 | Val Loss: 1.159 | Val Acc: 0.746
TRM: Epoch 144 | Train Loss: 1.121 | Train Acc: 0.783 | Val Loss: 1.149 | Val Acc: 0.753
TRM: Epoch 145 | Train Loss: 1.122 | Train Acc: 0.781 | Val Loss: 1.148 | Val Acc: 0.754
TRM: Epoch 146 | Train Loss: 1.122 | Train Acc: 0.782 | Val Loss: 1.148 | Val Acc: 0.753
TRM: Epoch 147 | Train Loss: 1.118 | Train Acc: 0.785 | Val Loss: 1.151 | Val Acc: 0.752
TRM: Epoch 148 | Train Loss: 1.121 | Train Acc: 0.781 | Val Loss: 1.145 | Val Acc: 0.756
TRM: Epoch 149 | Train Loss: 1.119 | Train Acc: 0.784 | Val Loss: 1.161 | Val Acc: 0.741
